Period,CommodityPrice,StockPrice,TEVperShare,TonsSold,ProductionCost,PrimeRate,SharesOut
2016Q3,65.51,41.75,64.14,1431,60.12,3.50,10300
2016Q4,75.38,71.00,88.06,2146,67.30,3.50,10300
2017Q1,126.94,66.40,80.41,1024,78.66,3.75,10300
2017Q2,126.94,65.50,77.21,1024,78.66,4.00,10700
2017Q3,105.86,59.30,77.71,1026,74.02,4.25,10500
2017Q4,109.08,59.38,81.61,827,57.53,4.25,9900
2018Q1,141.06,64.80,82.17,954,80.45,4.50,9900
2018Q2,128.51,73.33,90.70,1184,75.38,4.75,9900
2018Q3,116.47,78.50,90.99,2563,97.94,5.00,9900
2018Q4,129.99,65.74,82.06,5981,100.68,5.25,19100
2019Q1,125.68,58.79,78.48,3243,94.20,5.50,18200
2019Q2,124.34,51.22,69.40,3429,87.13,5.50,18200
2019Q3,108.35,27.96,50.55,2981,87.32,5.25,18200
2019Q4,94.98,9.05,28.37,3273,82.26,5.00,18200
2020Q1,92.80,2.35,24.08,3327,70.68,4.75,18246
2020Q2,81.61,3.04,22.67,3204,74.41,3.25,18304
2020Q3,73.79,7.32,28.68,3329,66.49,3.25,18320
2020Q4,75.24,11.37,33.99,3210,69.32,3.25,18320
2021Q1,82.00,12.63,37.58,3657,71.72,3.25,18361
2021Q2,83.38,25.63,51.55,3748,69.94,3.25,18439
2021Q3,113.51,49.79,71.94,4380,76.62,3.25,18913
